ID,Target
1,FilmTele-Play
2,Weather-Query
3,Audio-Play
4,Alarm-Update
5,HomeAppliance-Control
6,FilmTele-Play
7,FilmTele-Play
8,Music-Play
9,Calendar-Query
10,Video-Play
11,Alarm-Update
12,Music-Play
13,Travel-Query
14,TVProgram-Play
15,Radio-Listen
16,Alarm-Update
17,Video-Play
18,Weather-Query
19,Other
20,Other
21,Video-Play
22,FilmTele-Play
23,Weather-Query
24,Alarm-Update
25,Audio-Play
26,Other
27,TVProgram-Play
28,Video-Play
29,Music-Play
30,Alarm-Update
31,Travel-Query
32,Music-Play
33,Radio-Listen
34,Video-Play
35,Radio-Listen
36,Video-Play
37,Video-Play
38,Video-Play
39,HomeAppliance-Control
40,Video-Play
41,Weather-Query
42,Radio-Listen
43,HomeAppliance-Control
44,Music-Play
45,Radio-Listen
46,Calendar-Query
47,Alarm-Update
48,HomeAppliance-Control
49,HomeAppliance-Control
50,Other
51,Travel-Query
52,FilmTele-Play
53,Weather-Query
54,FilmTele-Play
55,Radio-Listen
56,Calendar-Query
57,Radio-Listen
58,Travel-Query
59,Music-Play
60,Weather-Query
61,Weather-Query
62,FilmTele-Play
63,Radio-Listen
64,Music-Play
65,TVProgram-Play
66,Music-Play
67,Video-Play
68,Music-Play
69,Video-Play
70,FilmTele-Play
71,Music-Play
72,Calendar-Query
73,Calendar-Query
74,Radio-Listen
75,FilmTele-Play
76,Audio-Play
77,Video-Play
78,HomeAppliance-Control
79,Video-Play
80,Alarm-Update
81,FilmTele-Play
82,Travel-Query
83,Music-Play
84,HomeAppliance-Control
85,Weather-Query
86,Video-Play
87,FilmTele-Play
88,Calendar-Query
89,Alarm-Update
90,Music-Play
91,Travel-Query
92,Alarm-Update
93,FilmTele-Play
94,Radio-Listen
95,Music-Play
96,Alarm-Update
97,Calendar-Query
98,Radio-Listen
99,Audio-Play
100,Radio-Listen
101,Other
102,Other
103,Weather-Query
104,Video-Play
105,Audio-Play
106,Alarm-Update
107,FilmTele-Play
108,FilmTele-Play
109,Weather-Query
110,Weather-Query
111,Audio-Play
112,Music-Play
113,HomeAppliance-Control
114,Alarm-Update
115,FilmTele-Play
116,Weather-Query
117,Other
118,TVProgram-Play
119,Calendar-Query
120,Video-Play
121,Video-Play
122,Alarm-Update
123,Calendar-Query
124,Radio-Listen
125,TVProgram-Play
126,TVProgram-Play
127,Travel-Query
128,Audio-Play
129,Alarm-Update
130,Video-Play
131,Calendar-Query
132,Radio-Listen
133,Video-Play
134,Video-Play
135,FilmTele-Play
136,Video-Play
137,Weather-Query
138,Music-Play
139,Music-Play
140,FilmTele-Play
141,Travel-Query
142,Video-Play
143,FilmTele-Play
144,Alarm-Update
145,Video-Play
146,Calendar-Query
147,HomeAppliance-Control
148,Video-Play
149,Weather-Query
150,Alarm-Update
151,FilmTele-Play
152,Travel-Query
153,Music-Play
154,HomeAppliance-Control
155,Radio-Listen
156,Calendar-Query
157,Video-Play
158,Video-Play
159,FilmTele-Play
160,Video-Play
161,Radio-Listen
162,Alarm-Update
163,Weather-Query
164,Audio-Play
165,HomeAppliance-Control
166,Radio-Listen
167,FilmTele-Play
168,Music-Play
169,Travel-Query
170,Calendar-Query
171,Alarm-Update
172,HomeAppliance-Control
173,HomeAppliance-Control
174,Alarm-Update
175,Alarm-Update
176,Weather-Query
177,Calendar-Query
178,HomeAppliance-Control
179,Alarm-Update
180,Video-Play
181,Other
182,Alarm-Update
183,Alarm-Update
184,HomeAppliance-Control
185,Audio-Play
186,HomeAppliance-Control
187,Calendar-Query
188,Audio-Play
189,Music-Play
190,Calendar-Query
191,FilmTele-Play
192,Video-Play
193,Weather-Query
194,TVProgram-Play
195,Other
196,HomeAppliance-Control
197,Music-Play
198,Radio-Listen
199,HomeAppliance-Control
200,Calendar-Query
201,TVProgram-Play
202,Other
203,Radio-Listen
204,FilmTele-Play
205,Other
206,Other
207,Weather-Query
208,Other
209,HomeAppliance-Control
210,Calendar-Query
211,Alarm-Update
212,TVProgram-Play
213,Music-Play
214,HomeAppliance-Control
215,Radio-Listen
216,HomeAppliance-Control
217,HomeAppliance-Control
218,Other
219,Alarm-Update
220,Other
221,Weather-Query
222,HomeAppliance-Control
223,Radio-Listen
224,Music-Play
225,Calendar-Query
226,Music-Play
227,Travel-Query
228,Radio-Listen
229,Radio-Listen
230,Video-Play
231,Video-Play
232,Travel-Query
233,HomeAppliance-Control
234,Radio-Listen
235,Alarm-Update
236,FilmTele-Play
237,Music-Play
238,FilmTele-Play
239,Alarm-Update
240,Radio-Listen
241,Alarm-Update
242,Radio-Listen
243,Weather-Query
244,Video-Play
245,Video-Play
246,FilmTele-Play
247,TVProgram-Play
248,FilmTele-Play
249,TVProgram-Play
250,TVProgram-Play
251,TVProgram-Play
252,Other
253,Alarm-Update
254,Travel-Query
255,Radio-Listen
256,HomeAppliance-Control
257,TVProgram-Play
258,Alarm-Update
259,Alarm-Update
260,Radio-Listen
261,Travel-Query
262,Video-Play
263,Video-Play
264,HomeAppliance-Control
265,Other
266,Video-Play
267,Weather-Query
268,Audio-Play
269,HomeAppliance-Control
270,Weather-Query
271,Alarm-Update
272,Video-Play
273,Radio-Listen
274,Travel-Query
275,Video-Play
276,HomeAppliance-Control
277,HomeAppliance-Control
278,Radio-Listen
279,Alarm-Update
280,Music-Play
281,Music-Play
282,HomeAppliance-Control
283,Travel-Query
284,Music-Play
285,Weather-Query
286,Calendar-Query
287,Weather-Query
288,FilmTele-Play
289,Other
290,Weather-Query
291,TVProgram-Play
292,Alarm-Update
293,Music-Play
294,Video-Play
295,HomeAppliance-Control
296,Video-Play
297,Video-Play
298,Video-Play
299,Radio-Listen
300,HomeAppliance-Control
301,Radio-Listen
302,Weather-Query
303,TVProgram-Play
304,Travel-Query
305,Alarm-Update
306,FilmTele-Play
307,Travel-Query
308,Other
309,Alarm-Update
310,Video-Play
311,Radio-Listen
312,Weather-Query
313,Radio-Listen
314,Video-Play
315,Alarm-Update
316,Weather-Query
317,Weather-Query
318,Calendar-Query
319,Travel-Query
320,Radio-Listen
321,Other
322,TVProgram-Play
323,Calendar-Query
324,Audio-Play
325,Radio-Listen
326,Travel-Query
327,HomeAppliance-Control
328,Music-Play
329,HomeAppliance-Control
330,Other
331,Radio-Listen
332,Radio-Listen
333,Weather-Query
334,FilmTele-Play
335,HomeAppliance-Control
336,TVProgram-Play
337,HomeAppliance-Control
338,Video-Play
339,Music-Play
340,Audio-Play
341,Radio-Listen
342,Video-Play
343,Radio-Listen
344,Music-Play
345,Calendar-Query
346,HomeAppliance-Control
347,Travel-Query
348,Weather-Query
349,Calendar-Query
350,Radio-Listen
351,HomeAppliance-Control
352,FilmTele-Play
353,Radio-Listen
354,Audio-Play
355,Alarm-Update
356,Weather-Query
357,HomeAppliance-Control
358,Radio-Listen
359,Weather-Query
360,Calendar-Query
361,Radio-Listen
362,Other
363,Travel-Query
364,Radio-Listen
365,Video-Play
366,HomeAppliance-Control
367,Radio-Listen
368,FilmTele-Play
369,Radio-Listen
370,Audio-Play
371,Weather-Query
372,Radio-Listen
373,FilmTele-Play
374,Weather-Query
375,Alarm-Update
376,FilmTele-Play
377,HomeAppliance-Control
378,Other
379,Weather-Query
380,Travel-Query
381,Travel-Query
382,Radio-Listen
383,Travel-Query
384,Weather-Query
385,Audio-Play
386,Radio-Listen
387,Weather-Query
388,FilmTele-Play
389,Radio-Listen
390,Audio-Play
391,Audio-Play
392,Travel-Query
393,Audio-Play
394,Alarm-Update
395,TVProgram-Play
396,Audio-Play
397,Video-Play
398,Calendar-Query
399,Calendar-Query
400,TVProgram-Play
401,Other
402,HomeAppliance-Control
403,Music-Play
404,Alarm-Update
405,TVProgram-Play
406,Video-Play
407,Music-Play
408,TVProgram-Play
409,Calendar-Query
410,FilmTele-Play
411,Music-Play
412,Video-Play
413,TVProgram-Play
414,Calendar-Query
415,Weather-Query
416,Alarm-Update
417,Alarm-Update
418,Alarm-Update
419,Radio-Listen
420,FilmTele-Play
421,Audio-Play
422,TVProgram-Play
423,Calendar-Query
424,Music-Play
425,Radio-Listen
426,Other
427,Radio-Listen
428,Radio-Listen
429,Other
430,Radio-Listen
431,Alarm-Update
432,Alarm-Update
433,Travel-Query
434,HomeAppliance-Control
435,Music-Play
436,Video-Play
437,Calendar-Query
438,Weather-Query
439,Alarm-Update
440,Calendar-Query
441,Music-Play
442,FilmTele-Play
443,Weather-Query
444,Alarm-Update
445,Weather-Query
446,Audio-Play
447,Alarm-Update
448,HomeAppliance-Control
449,Audio-Play
450,Radio-Listen
451,Radio-Listen
452,FilmTele-Play
453,Radio-Listen
454,Video-Play
455,TVProgram-Play
456,Radio-Listen
457,Weather-Query
458,Radio-Listen
459,FilmTele-Play
460,Travel-Query
461,Travel-Query
462,TVProgram-Play
463,Weather-Query
464,Music-Play
465,Weather-Query
466,Video-Play
467,Other
468,Video-Play
469,Video-Play
470,FilmTele-Play
471,Music-Play
472,Calendar-Query
473,Calendar-Query
474,Alarm-Update
475,Alarm-Update
476,Video-Play
477,Music-Play
478,Music-Play
479,FilmTele-Play
480,Music-Play
481,Music-Play
482,Radio-Listen
483,FilmTele-Play
484,HomeAppliance-Control
485,HomeAppliance-Control
486,Video-Play
487,FilmTele-Play
488,FilmTele-Play
489,Radio-Listen
490,HomeAppliance-Control
491,Calendar-Query
492,Weather-Query
493,Other
494,Calendar-Query
495,TVProgram-Play
496,Audio-Play
497,Alarm-Update
498,FilmTele-Play
499,TVProgram-Play
500,Video-Play
501,Radio-Listen
502,Weather-Query
503,FilmTele-Play
504,Travel-Query
505,Audio-Play
506,Travel-Query
507,Weather-Query
508,TVProgram-Play
509,Video-Play
510,Video-Play
511,Travel-Query
512,Music-Play
513,Radio-Listen
514,Video-Play
515,HomeAppliance-Control
516,Audio-Play
517,Weather-Query
518,HomeAppliance-Control
519,FilmTele-Play
520,TVProgram-Play
521,Music-Play
522,Music-Play
523,Radio-Listen
524,FilmTele-Play
525,Weather-Query
526,Alarm-Update
527,Video-Play
528,Alarm-Update
529,HomeAppliance-Control
530,Travel-Query
531,Audio-Play
532,Other
533,FilmTele-Play
534,Travel-Query
535,Video-Play
536,Video-Play
537,HomeAppliance-Control
538,Video-Play
539,Other
540,Weather-Query
541,Radio-Listen
542,Calendar-Query
543,Other
544,Weather-Query
545,Audio-Play
546,Radio-Listen
547,Other
548,Radio-Listen
549,Calendar-Query
550,Calendar-Query
551,Weather-Query
552,Travel-Query
553,Radio-Listen
554,Music-Play
555,Radio-Listen
556,Video-Play
557,Other
558,FilmTele-Play
559,HomeAppliance-Control
560,Travel-Query
561,Travel-Query
562,HomeAppliance-Control
563,Alarm-Update
564,Other
565,Music-Play
566,HomeAppliance-Control
567,Video-Play
568,Video-Play
569,Weather-Query
570,Travel-Query
571,Music-Play
572,HomeAppliance-Control
573,Music-Play
574,Video-Play
575,Alarm-Update
576,Audio-Play
577,Alarm-Update
578,FilmTele-Play
579,Calendar-Query
580,Other
581,Calendar-Query
582,Video-Play
583,FilmTele-Play
584,Radio-Listen
585,TVProgram-Play
586,TVProgram-Play
587,Weather-Query
588,Travel-Query
589,TVProgram-Play
590,Music-Play
591,HomeAppliance-Control
592,FilmTele-Play
593,Calendar-Query
594,Other
595,Video-Play
596,Alarm-Update
597,FilmTele-Play
598,FilmTele-Play
599,FilmTele-Play
600,Music-Play
601,Calendar-Query
602,Other
603,Alarm-Update
604,Travel-Query
605,Travel-Query
606,Travel-Query
607,FilmTele-Play
608,Music-Play
609,HomeAppliance-Control
610,FilmTele-Play
611,HomeAppliance-Control
612,Radio-Listen
613,TVProgram-Play
614,HomeAppliance-Control
615,Calendar-Query
616,Calendar-Query
617,Video-Play
618,Other
619,Radio-Listen
620,Weather-Query
621,Travel-Query
622,Audio-Play
623,FilmTele-Play
624,Weather-Query
625,Radio-Listen
626,Travel-Query
627,Video-Play
628,TVProgram-Play
629,Travel-Query
630,Weather-Query
631,Alarm-Update
632,TVProgram-Play
633,FilmTele-Play
634,Weather-Query
635,Travel-Query
636,Other
637,Weather-Query
638,FilmTele-Play
639,Audio-Play
640,Video-Play
641,Weather-Query
642,Audio-Play
643,Radio-Listen
644,Travel-Query
645,Music-Play
646,HomeAppliance-Control
647,Alarm-Update
648,TVProgram-Play
649,Music-Play
650,Weather-Query
651,Other
652,Video-Play
653,Radio-Listen
654,Audio-Play
655,FilmTele-Play
656,HomeAppliance-Control
657,Music-Play
658,HomeAppliance-Control
659,Travel-Query
660,HomeAppliance-Control
661,TVProgram-Play
662,Radio-Listen
663,Calendar-Query
664,FilmTele-Play
665,HomeAppliance-Control
666,Weather-Query
667,FilmTele-Play
668,Radio-Listen
669,Music-Play
670,HomeAppliance-Control
671,Weather-Query
672,TVProgram-Play
673,FilmTele-Play
674,Radio-Listen
675,Video-Play
676,Alarm-Update
677,FilmTele-Play
678,FilmTele-Play
679,Other
680,Alarm-Update
681,Alarm-Update
682,Music-Play
683,Weather-Query
684,Weather-Query
685,FilmTele-Play
686,Radio-Listen
687,HomeAppliance-Control
688,HomeAppliance-Control
689,Radio-Listen
690,FilmTele-Play
691,Calendar-Query
692,Video-Play
693,Travel-Query
694,Calendar-Query
695,TVProgram-Play
696,TVProgram-Play
697,TVProgram-Play
698,Radio-Listen
699,Travel-Query
700,FilmTele-Play
701,HomeAppliance-Control
702,Radio-Listen
703,Audio-Play
704,Travel-Query
705,Radio-Listen
706,Travel-Query
707,Music-Play
708,Radio-Listen
709,HomeAppliance-Control
710,Weather-Query
711,Audio-Play
712,TVProgram-Play
713,Video-Play
714,Calendar-Query
715,Weather-Query
716,TVProgram-Play
717,Alarm-Update
718,Other
719,Travel-Query
720,Video-Play
721,TVProgram-Play
722,HomeAppliance-Control
723,TVProgram-Play
724,Other
725,Alarm-Update
726,HomeAppliance-Control
727,Radio-Listen
728,Weather-Query
729,Travel-Query
730,Radio-Listen
731,Radio-Listen
732,Other
733,HomeAppliance-Control
734,HomeAppliance-Control
735,Audio-Play
736,TVProgram-Play
737,TVProgram-Play
738,TVProgram-Play
739,Radio-Listen
740,Calendar-Query
741,Radio-Listen
742,Video-Play
743,Radio-Listen
744,Alarm-Update
745,Music-Play
746,FilmTele-Play
747,Weather-Query
748,FilmTele-Play
749,Travel-Query
750,Weather-Query
751,HomeAppliance-Control
752,Weather-Query
753,TVProgram-Play
754,Calendar-Query
755,Alarm-Update
756,Music-Play
757,Weather-Query
758,Travel-Query
759,Travel-Query
760,FilmTele-Play
761,Weather-Query
762,Travel-Query
763,Audio-Play
764,FilmTele-Play
765,Travel-Query
766,Video-Play
767,Music-Play
768,Weather-Query
769,Audio-Play
770,TVProgram-Play
771,Radio-Listen
772,Alarm-Update
773,Video-Play
774,TVProgram-Play
775,Calendar-Query
776,Other
777,Video-Play
778,Other
779,Weather-Query
780,Travel-Query
781,Weather-Query
782,TVProgram-Play
783,Audio-Play
784,Travel-Query
785,Video-Play
786,Weather-Query
787,Radio-Listen
788,Music-Play
789,Audio-Play
790,Travel-Query
791,TVProgram-Play
792,Radio-Listen
793,FilmTele-Play
794,Calendar-Query
795,Calendar-Query
796,Travel-Query
797,Calendar-Query
798,Calendar-Query
799,HomeAppliance-Control
800,TVProgram-Play
801,Audio-Play
802,FilmTele-Play
803,FilmTele-Play
804,Audio-Play
805,Radio-Listen
806,FilmTele-Play
807,TVProgram-Play
808,Music-Play
809,Alarm-Update
810,HomeAppliance-Control
811,TVProgram-Play
812,Music-Play
813,Radio-Listen
814,FilmTele-Play
815,Music-Play
816,Video-Play
817,Calendar-Query
818,Other
819,Video-Play
820,FilmTele-Play
821,FilmTele-Play
822,Weather-Query
823,Radio-Listen
824,Weather-Query
825,Alarm-Update
826,FilmTele-Play
827,Weather-Query
828,Weather-Query
829,Alarm-Update
830,Music-Play
831,Video-Play
832,Weather-Query
833,Weather-Query
834,Weather-Query
835,Weather-Query
836,Music-Play
837,Radio-Listen
838,Travel-Query
839,FilmTele-Play
840,Radio-Listen
841,Alarm-Update
842,FilmTele-Play
843,HomeAppliance-Control
844,Music-Play
845,Calendar-Query
846,Audio-Play
847,HomeAppliance-Control
848,FilmTele-Play
849,Travel-Query
850,Weather-Query
851,Video-Play
852,Travel-Query
853,Weather-Query
854,Travel-Query
855,Weather-Query
856,FilmTele-Play
857,TVProgram-Play
858,TVProgram-Play
859,Music-Play
860,Radio-Listen
861,FilmTele-Play
862,Video-Play
863,Alarm-Update
864,TVProgram-Play
865,Alarm-Update
866,Video-Play
867,Music-Play
868,Travel-Query
869,Radio-Listen
870,TVProgram-Play
871,TVProgram-Play
872,Other
873,Travel-Query
874,Radio-Listen
875,Calendar-Query
876,Alarm-Update
877,Radio-Listen
878,Calendar-Query
879,Music-Play
880,Video-Play
881,Other
882,Video-Play
883,Weather-Query
884,FilmTele-Play
885,TVProgram-Play
886,TVProgram-Play
887,Weather-Query
888,Radio-Listen
889,FilmTele-Play
890,Travel-Query
891,Audio-Play
892,Music-Play
893,Weather-Query
894,Music-Play
895,HomeAppliance-Control
896,Radio-Listen
897,Music-Play
898,Weather-Query
899,Alarm-Update
900,FilmTele-Play
901,Music-Play
902,Alarm-Update
903,HomeAppliance-Control
904,Music-Play
905,TVProgram-Play
906,Audio-Play
907,Music-Play
908,Radio-Listen
909,Other
910,Audio-Play
911,Weather-Query
912,Weather-Query
913,Weather-Query
914,Calendar-Query
915,Calendar-Query
916,Other
917,HomeAppliance-Control
918,HomeAppliance-Control
919,Calendar-Query
920,Travel-Query
921,Calendar-Query
922,Calendar-Query
923,Weather-Query
924,Calendar-Query
925,Other
926,Calendar-Query
927,Music-Play
928,Travel-Query
929,Travel-Query
930,Calendar-Query
931,Other
932,Travel-Query
933,Other
934,Travel-Query
935,Calendar-Query
936,Audio-Play
937,Music-Play
938,FilmTele-Play
939,FilmTele-Play
940,Travel-Query
941,Calendar-Query
942,Travel-Query
943,HomeAppliance-Control
944,Video-Play
945,Weather-Query
946,Weather-Query
947,HomeAppliance-Control
948,Alarm-Update
949,FilmTele-Play
950,Weather-Query
951,Audio-Play
952,Music-Play
953,Radio-Listen
954,FilmTele-Play
955,Alarm-Update
956,Weather-Query
957,HomeAppliance-Control
958,Music-Play
959,Weather-Query
960,FilmTele-Play
961,Radio-Listen
962,Alarm-Update
963,Travel-Query
964,Weather-Query
965,Audio-Play
966,Music-Play
967,FilmTele-Play
968,Alarm-Update
969,TVProgram-Play
970,HomeAppliance-Control
971,Video-Play
972,Radio-Listen
973,Audio-Play
974,Weather-Query
975,HomeAppliance-Control
976,Radio-Listen
977,Audio-Play
978,Weather-Query
979,FilmTele-Play
980,FilmTele-Play
981,Weather-Query
982,Audio-Play
983,Other
984,Audio-Play
985,Calendar-Query
986,Weather-Query
987,Alarm-Update
988,Travel-Query
989,Weather-Query
990,Weather-Query
991,TVProgram-Play
992,Other
993,Calendar-Query
994,HomeAppliance-Control
995,Music-Play
996,Travel-Query
997,Other
998,Travel-Query
999,Video-Play
1000,Weather-Query
1001,Calendar-Query
1002,TVProgram-Play
1003,Travel-Query
1004,Alarm-Update
1005,Travel-Query
1006,Radio-Listen
1007,TVProgram-Play
1008,Video-Play
1009,Alarm-Update
1010,Music-Play
1011,Calendar-Query
1012,Other
1013,Music-Play
1014,Calendar-Query
1015,TVProgram-Play
1016,Alarm-Update
1017,Music-Play
1018,Radio-Listen
1019,Video-Play
1020,Music-Play
1021,FilmTele-Play
1022,Other
1023,Radio-Listen
1024,HomeAppliance-Control
1025,Video-Play
1026,Travel-Query
1027,FilmTele-Play
1028,Alarm-Update
1029,Radio-Listen
1030,Music-Play
1031,Alarm-Update
1032,Audio-Play
1033,Alarm-Update
1034,Weather-Query
1035,Radio-Listen
1036,Travel-Query
1037,Audio-Play
1038,Music-Play
1039,Calendar-Query
1040,Music-Play
1041,Weather-Query
